access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,40.852,2030,0.079824568,0.057891169,0.02193,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,43.7,2040,0.089878512,0.05739582,0.03248,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,45.801,2050,0.09972442,0.05655757,0.04317,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,47.548,2060,0.110823633,0.056053021,0.05477,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,49.418,2070,0.12281361,0.055910682,0.06690,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,51.129,2080,0.134803008,0.055575997,0.07923,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,52.489,2090,0.146661447,0.05494506,0.09172,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,53.832,2100,0.158624414,0.054217779,0.10441,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,134.138,2030,0.262104863,0.190086302,0.07202,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,140.817,2040,0.289620652,0.18494982,0.10467,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,143.734,2050,0.31295801,0.177490574,0.13547,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,142.951,2060,0.333186448,0.168520976,0.16467,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,139.306,2070,0.346203262,0.157608432,0.18859,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,133.223,2080,0.351246085,0.144810206,0.20644,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,125.169,2090,0.34973931,0.131025896,0.21871,,,
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,116.09,2100,0.342077355,0.116921941,0.22516,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,152.43,2030,0.254493162,0.18993984712730472,0.06455,34.00%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,147.551,2040,0.268721612,0.1812746108335783,0.08745,48.20%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,142.191,2050,0.275928281,0.16886273126512336,0.10707,63.40%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,136.732,2060,0.279505026,0.15537127357969516,0.12413,79.90%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,130.669,2070,0.278573885,0.14117701903772267,0.13740,97.30%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,125.451,2080,0.274864064,0.12737851744525394,0.14749,115.80%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,121.414,2090,0.269180299,0.11423116710137544,0.15495,135.60%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,,117.959,2100,0.261916595,0.10196273901091576,0.15995,156.90%,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,33.562,2030,0.056034242,0.041820909,0.01421,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,36.017,2040,0.065594583,0.044248888,0.02135,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,38.051,2050,0.073839744,0.045188484,0.02865,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,39.729,2060,0.081213287,0.045144848,0.03607,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,41.172,2070,0.08777479,0.044482932,0.04329,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,42.345,2080,0.092778207,0.042995618,0.04978,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,43.228,2090,0.09583842,0.040670638,0.05517,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,44.113,2100,0.097948667,0.038130896,0.05982,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,118.868,2030,0.19845892,0.148118938,0.05034,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,111.534,2040,0.203127029,0.137025723,0.06610,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,104.14,2050,0.202088537,0.123674247,0.07841,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,97.003,2060,0.198291739,0.110226426,0.08807,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,89.497,2070,0.190799095,0.096694087,0.09411,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,83.106,2080,0.182085858,0.084382899,0.09770,,,
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,78.186,2090,0.173341879,0.073560529,0.09978,,,
