Table 1;;;;;
Region: Europe only;;;;;
Paper;Tech;;;;
;Wind;Solar PV;Hydropower;Thermoelectric generation;
Tobin et al 1.5C (GWL rather than EoC);reductions in wind power potential < 5% for 1.5C and 2C, while for 3C GWL most are <5%, but Portugal, Ireland >5% and Cyprus ~10%;Solar PV generation reduction is less than 5% for under the 1.5C and 2C. For 3C Baltic countries, Finland and Sweden within the 5%–10% range;"Mean gross hydropower potential increases in northern, eastern and western Europe and decreases in southern Europe (Greece, Spain and Portugal). 
Magnitude of change in ensemble mean:
1.5°C warming: not exceeding 10%, 2°C warming: not exceeding 15%, 3°C warming: not exceeding 20%

Most negatively impacted countries (Greece, Portugal, Spain): 3°C warming: 15-20% reduction, 2°C warming: less than 10% reduction, 1.5°C warming: 5% or less reduction

Most positively impacted countries (Baltic and Scandinavian): 3°C warming: increase exceeding 15%";"(Coal, oil, and gas, noting the latter has less water cooling demand)
Increased global warming results in systematically larger impacts. The magnitude of the decreases are about 5% for 1.5?°C, 10% for 2?°C and ~15% for 3?°C for most countries";Note there is no year in which such estimates occur, this is because they are using GWL (i.e. peak temp or when temp hits this level during 21C)
;;;;;
Table 2;;;;;
Region: World regions;MEAN ANNUAL USABLE CAPACITY;;;;
Paper;Tech;;;;
;Wind;Solar PV;Hydropower;Thermoelectric generation;
va Vliet et al;;;"Climate change impacts on mean annual usable capacity of hydropower for the baseline power plant settings

";"(Fossil fueled, biomass, and nuclear) 
";Sources: Tables S4 and S5
 World          ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4158;0,591;
 World          ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,3852;0,387;
;;;;;
Table 3 - Multiple 5;;;Multiplier;5;
 Region         ; RCP                      ; Year                     ; Hydropower Baseline ; Thermoelectric Power Baseline (Fossil fueled, biomass, and nuclear);
----------------;--------------------------;--------------------------;---------------------;------------------------------;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,44775;0,52125;
 North America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,459;0,48;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,4545;0,5475;
 North America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,4005;0,2625;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,387;0,70125;
 South America  ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,36675;0,6525;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,38025;0,67875;
 South America  ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,32625;0,50625;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,41625;0,4275;
 Europe         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,44775;0,375;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,43425;0,4425;
 Europe         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,3555;0,18;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,45225;0,63375;
 Africa         ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,42975;0,555;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,459;0,57;
 Africa         ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,42975;0,0825;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,4005;0,615;
 Asia           ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,42975;0,57375;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,38025;0,63;
 Asia           ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,3825;0,435;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,216;0,51375;
 Australia      ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,306;0,57;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,26325;0,54375;
 Australia      ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,081;0,32625;
 World          ; RCP2.6 (Below 2C EoC)    ; 2020s (i.e. 2020-2039)   ;0,41175;0,5325;
 World          ; RCP2.6 (Below 2C EoC)    ; 2050s (i.e. 2040-2069)   ;0,423;0,4875;
 World          ; RCP8.5 (Exceeding 4C EoC); 2020s (i.e. 2020-2039)   ;0,40725;0,55125;
 World          ; RCP8.5 (Exceeding 4C EoC); 2050s (i.e. 2040-2069)   ;0,369;0,29625;
