access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,%(DERP2 - DERP4)
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,377.905,2050,0.822828256,0.466657684,0.35617,76.30%,,47.89%
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,383.101,2060,0.892921779,0.451627161,0.44129,97.70%,,59.74%
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,388.739,2070,0.966094136,0.439812674,0.52628,119.70%,,72.02%
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,392.949,2080,1.036020792,0.427126139,0.60889,142.60%,,84.86%
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,394.443,2090,1.102127705,0.41289974,0.68923,166.90%,,98.59%
projected,EN_NPi2100,tm23ts23,0.95,NAM,USA,395.319,2100,1.164869309,0.398151993,0.76672,192.60%,,113.08%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,40.852,2030,0.079824568,0.057891169,0.02193,37.90%,,26.46%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,43.7,2040,0.089878512,0.05739582,0.03248,56.60%,,36.98%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,45.801,2050,0.09972442,0.05655757,0.04317,76.30%,,47.85%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,47.548,2060,0.110823633,0.056053021,0.05477,97.70%,,59.75%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,49.418,2070,0.12281361,0.055910682,0.0669,119.70%,,72.01%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,51.129,2080,0.134803008,0.055575997,0.07923,142.60%,,84.95%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,52.489,2090,0.146661447,0.05494506,0.09172,166.90%,,98.53%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Canada,53.832,2100,0.158624414,0.054217779,0.10441,192.60%,,113.13%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,134.138,2030,0.262104863,0.190086302,0.07202,,,-11.41%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,140.817,2040,0.289620652,0.18494982,0.10467,,,-19.69%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,143.734,2050,0.31295801,0.177490574,0.13547,,,-28.46%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,142.951,2060,0.333186448,0.168520976,0.16467,,,-37.98%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,139.306,2070,0.346203262,0.157608432,0.18859,,,-47.61%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,133.223,2080,0.351246085,0.144810206,0.20644,,,-57.66%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,125.169,2090,0.34973931,0.131025896,0.21871,,,-68.35%
projected,EN_NPi2100,tm23ts23,0.95,NAM,Mexico,116.09,2100,0.342077355,0.116921941,0.22516,,,-79.45%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,152.43,2030,0.254493162,0.189939847,0.06455,34.00%,,21.07%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,147.551,2040,0.268721612,0.181274611,0.08745,48.20%,,27.82%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,142.191,2050,0.275928281,0.168862731,0.10707,63.40%,,35.10%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,136.732,2060,0.279505026,0.155371274,0.12413,79.90%,,42.93%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,130.669,2070,0.278573885,0.141177019,0.1374,97.30%,,51.08%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,125.451,2080,0.274864064,0.127378517,0.14749,115.80%,,59.81%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,121.414,2090,0.269180299,0.114231167,0.15495,135.60%,,69.11%
projected,EN_NPi2100,tm23ts23,0.95,PAO,,117.959,2100,0.261916595,0.101962739,0.15995,156.90%,,79.17%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,33.562,2030,0.056034242,0.041820909,0.01421,,,-12.92%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,36.017,2040,0.065594583,0.044248888,0.02135,,,-20.27%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,38.051,2050,0.073839744,0.045188484,0.02865,,,-28.28%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,39.729,2060,0.081213287,0.045144848,0.03607,,,-36.89%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,41.172,2070,0.08777479,0.044482932,0.04329,,,-46.13%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,42.345,2080,0.092778207,0.042995618,0.04978,,,-56.03%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,43.228,2090,0.09583842,0.040670638,0.05517,,,-66.58%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Australia_NZ,44.113,2100,0.097948667,0.038130896,0.05982,,,-77.85%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,118.868,2030,0.19845892,0.148118938,0.05034,,,-12.94%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,111.534,2040,0.203127029,0.137025723,0.0661,,,-20.34%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,104.14,2050,0.202088537,0.123674247,0.07841,,,-28.32%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,97.003,2060,0.198291739,0.110226426,0.08807,,,-37.00%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,89.497,2070,0.190799095,0.096694087,0.09411,,,-46.16%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,83.106,2080,0.182085858,0.084382899,0.0977,,,-55.98%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,78.186,2090,0.173341879,0.073560529,0.09978,,,-66.57%
projected,EN_NPi2100,tm23ts23,0.95,PAO,Japan,73.846,2100,0.163967928,0.063831843,0.10014,,,-77.81%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,840.053,2030,1.089736673,0.912632858,0.1771,19.41%,,12.54%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,881.696,2040,1.861571341,1.488535317,0.37304,25.06%,,14.52%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,903.577,2050,2.730903719,2.080989847,0.64991,31.23%,,16.59%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,907.111,2060,3.380465442,2.44722462,0.93324,38.13%,,18.83%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,897.895,2070,3.720583524,2.56091067,1.15967,45.28%,,21.15%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,880.077,2080,4.090782131,2.675757048,1.41503,52.88%,,23.58%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,855.975,2090,4.315905499,2.67607891,1.63983,61.28%,,26.20%
projected,EN_NPi2100,tm23ts23,0.95,PAS,,828.031,2100,4.341109704,2.549850638,1.79126,70.25%,,29.00%
